varied_param,Ne,N,tau,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful,stuck_near_end,map
Ne,1,30,0.5,1.0,48.6047842502594,,33.817616822646194,0.036429006302076225,0.33781187816344116,False,False,easy_map_sa
Ne,2,30,0.5,1.0,27.769937992095947,128.0,33.817616822646194,0.005382761462400085,0.5283161572059968,True,False,easy_map_sa
Ne,3,30,0.5,1.0,19.15048575401306,126.0,33.817616822646194,0.005981459394935189,0.805038937220268,True,False,easy_map_sa
Ne,4,30,0.5,1.0,12.931264877319336,124.0,33.817616822646194,0.0067170516563787195,1.0906741861609617,True,False,easy_map_sa
Ne,5,30,0.5,1.0,10.265373468399048,125.0,33.817616822646194,0.006351179422568992,1.352450625728945,True,False,easy_map_sa
Ne,1,30,0.5,1.0,62.42132830619812,,30.332053333333295,0.03760317924843553,0.3029445015408486,False,False,baseline_map_sa
Ne,2,30,0.5,1.0,40.94159913063049,128.0,30.332053333333295,0.005733371281756748,0.4738487494070553,True,False,baseline_map_sa
Ne,3,30,0.5,1.0,25.964526891708374,126.0,30.332053333333295,0.006241566086499497,0.7220431373153999,True,False,baseline_map_sa
Ne,4,30,0.5,1.0,17.49700355529785,128.0,30.332053333333295,0.005485759637525209,0.9477052366779928,True,False,baseline_map_sa
Ne,5,30,0.5,1.0,15.006758689880371,125.0,30.332053333333295,0.006910366557102053,1.213005718671048,True,False,baseline_map_sa
Ne,1,30,0.5,1.0,108.06957149505615,,33.231796984695265,0.04577795901709811,0.33186019025678165,False,False,hard_map_sa
Ne,2,30,0.5,1.0,66.85661816596985,132.0,33.231796984695265,0.005336219040322462,0.5034312237220445,True,False,hard_map_sa
Ne,3,30,0.5,1.0,37.814990520477295,129.0,33.231796984695265,0.0063933659752171195,0.7726838050865128,True,False,hard_map_sa
Ne,4,30,0.5,1.0,29.67304491996765,128.0,33.231796984695265,0.006152135850498251,1.038301401526399,True,False,hard_map_sa
Ne,5,30,0.5,1.0,23.715806007385254,130.0,33.231796984695265,0.006468371455725379,1.2778972543553668,True,False,hard_map_sa
