N,Ne,tau,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful
12,1,0.2,0.5,10.819766521453857,,51.39458414177943,42.14710660984701,0.09247477531932426,True
12,1,0.2,1.0,9.824869632720947,,45.62358148422524,42.14700593194991,0.03476575552275328,True
12,1,0.2,2.0,49.86358022689819,,42.49401250591626,30.040200209690585,0.12453812296225675,True
12,1,0.5,0.5,10.87667965888977,,43.681162439864224,42.14700597149136,0.015341564683728635,True
12,1,0.5,1.0,21.917861700057983,,42.203040156068546,30.040000164868655,0.12163039991199892,True
12,1,0.5,2.0,14.340182304382324,60.0,36.46002006139529,0.015406803085173275,0.6074102209718354,True
12,1,0.75,0.5,18.337894201278687,,42.171934968848475,30.040012881130526,0.1213192208771795,True
12,1,0.75,1.0,17.72400689125061,79.0,36.48426931787252,0.006731433452411777,0.4617409858787356,True
12,1,0.75,2.0,13.457649230957031,46.0,30.364503703703328,0.006442716185448064,0.6599578475547365,True
12,2,0.2,0.5,9.303367853164673,,51.39458414177943,42.14700813583678,0.09247576005942655,True
12,2,0.2,1.0,10.574756145477295,,45.62358148422524,42.14700576754566,0.034765757166795835,True
12,2,0.2,2.0,40.72320747375488,,42.49401250591626,30.040009710207784,0.12454002795708476,True
12,2,0.5,0.5,11.145979881286621,,43.681162439864224,42.14700660264006,0.015341558372241621,True
12,2,0.5,1.0,20.4228093624115,,42.203040156068546,30.040072914991228,0.12162967241077319,True
12,2,0.5,2.0,6.334173917770386,60.0,36.46002006139529,0.013954247655097063,1.2148688604580065,True
12,2,0.75,0.5,17.973642826080322,,42.171934968848475,30.039999675010854,0.12131935293837622,True
12,2,0.75,1.0,8.374129056930542,78.0,36.48426931787252,0.008149364292263048,0.9352851270148782,True
12,2,0.75,2.0,5.955421686172485,44.0,30.364503703703328,0.008457600387482792,1.3798202774234474,True
12,3,0.2,0.5,9.921426057815552,,51.39458414177943,42.147006486942594,0.09247577654836839,True
12,3,0.2,1.0,11.271352291107178,,45.62358148422524,42.14700654289732,0.03476574941327918,True
12,3,0.2,2.0,19.528462409973145,,42.49401250591626,30.040003093156873,0.12454009412759387,True
12,3,0.5,0.5,12.763462781906128,,43.681162439864224,42.14700654577319,0.01534155894091036,True
12,3,0.5,1.0,20.87637686729431,,42.203040156068546,30.04009999999812,0.12162940156070427,True
12,3,0.5,2.0,4.228034019470215,60.0,36.46002006139529,0.014484344512343409,1.8222767858441475,True
12,3,0.75,0.5,16.247632265090942,,42.171934968848475,30.03999931168276,0.12131935657165716,True
12,3,0.75,1.0,5.799157619476318,78.0,36.48426931787252,0.006448851578519559,1.4029930948574614,True
