varied_param,tau,N,Ne,umax,computation_time,arrival_time,penalty_start,penalty_end,penalty_rate,successful,stuck_near_end,map
tau,0.1,30,3,1.0,19.48715853691101,,69.84715111781337,39.498838838846005,0.30348312278967365,False,False,easy_map_sa
tau,0.2,30,3,1.0,130.68758702278137,,45.935462872462374,21.253205334790866,0.24682257537671506,False,False,easy_map_sa
tau,0.3,30,3,1.0,16.170908212661743,201.0,39.75627324165258,0.017147432615961404,0.5931212807318897,True,False,easy_map_sa
tau,0.5,30,3,1.0,17.601109743118286,126.0,33.817616822646194,0.005981459394935189,0.805038937220268,True,False,easy_map_sa
tau,0.75,30,3,1.0,20.637523889541626,102.0,24.60861884758288,0.002730993573387883,0.7237025839414556,True,False,easy_map_sa
tau,1.0,30,3,1.0,20.603428602218628,96.0,18.2526659810661,0.0014133977936361091,0.5703516432272645,True,False,easy_map_sa
tau,0.1,30,3,1.0,15.746920108795166,,43.95116246964382,42.14787045014992,0.018032920194939024,False,False,baseline_map_sa
tau,0.2,30,3,1.0,37.28838491439819,,42.286719362967695,30.040026824151013,0.12246692538816681,False,False,baseline_map_sa
tau,0.3,30,3,1.0,27.57891869544983,198.0,36.66426936903445,0.016000784813912334,0.5552767967306143,True,False,baseline_map_sa
tau,0.5,30,3,1.0,24.586528062820435,126.0,30.332053333333295,0.006241566086499497,0.7220431373153999,True,False,baseline_map_sa
tau,0.75,30,3,1.0,24.116941452026367,102.0,23.59266671933923,0.002768985974895254,0.6938205215695392,True,False,baseline_map_sa
tau,1.0,30,3,1.0,23.51297116279602,96.0,15.636151907444756,0.0013503135547255284,0.48858754980906344,True,False,baseline_map_sa
tau,0.1,30,3,1.0,24.01154112815857,,43.95116246964383,33.040131079434445,0.10911031390209387,False,False,hard_map_sa
tau,0.2,30,3,1.0,48.28726243972778,,39.32033333333154,21.880339345210082,0.17439993988121458,False,False,hard_map_sa
tau,0.3,30,3,1.0,40.18681240081787,198.0,36.66426894190751,0.01587403451181106,0.5552787107181166,True,False,hard_map_sa
tau,0.5,30,3,1.0,36.10997915267944,129.0,33.231796984695265,0.0063933659752171195,0.7726838050865128,True,False,hard_map_sa
tau,0.75,30,3,1.0,41.335893630981445,105.0,24.49430656744089,0.0027213665477577842,0.6997595771683752,True,False,hard_map_sa
tau,1.0,30,3,1.0,56.13573408126831,96.0,22.081162637024896,0.0016148412572468348,0.689985868617739,True,False,hard_map_sa
